RES_ID,rs,NUM_MAR,Age,LAND_DECIMAL,AN_INCOME
1D93002503,4,1,47,15,15000
1V72008740,3,1,47,56,20000
2VB3022511,5,1,47,47,20000
1V54007908,4,1,47,58,24000
1V31094041,6,1,47,150,25000
2VB5017304,3,1,47,9,27000
2V05038912,5,1,47,24,30000
4V34001308,4,1,47,126,30000
1V18021705,4,1,47,10,34600
1V35025204,3,1,47,0,36000
1V03003241,5,1,47,1.5,36000
1V11013142,3,1,47,7,36000
1O00007505,3,1,47,126,36000
2V24027709,3,2,47,82,40000
1V63002841,4,1,47,52,40000
2VB2006508,5,1,47,150,44400
2VB1000207,5,1,47,0,48000
1VBB037341,6,1,47,10,48000
2V00052019,6,1,47,18,48000
2VBC073201,2,1,47,4,48000
1V47010640,5,1,47,36,51000
4V12000606,5,1,47,3,53000
1V01006045,3,1,47,0,58000
2V25002211,3,1,47,126,61000
1V20010603,6,1,47,25,63000
2VB8005922,8,1,47,102,68000
1D97005303,3,1,47,0,72000
1V22002105,3,1,47,7,72000
4V95015712,7,1,47,102,72000
1V24019306,4,2,47,120,73000
1V57010504,6,1,47,38,75000
2D98037109,4,1,47,82.5,94000
1D98017607,5,1,47,45,102000
1V25016306,4,1,47,0,120000
4V53036607,9,1,47,22.5,120000
2V54001317,4,1,47,35.5,120000
2D60005506,5,1,47,56,125000
4V19046406,4,1,47,50,135000
1V69018903,3,1,47,65,149000
2V36036307,5,1,47,70,178400
3W00076904,5,1,47,124,180000
2VBB025312,7,1,47,618,224000
2D93014705,4,1,47,7.5,240000
4D99039706,6,2,47,0,240000
1V26019941,4,1,47,145,246000
2U0069007,7,1,47,57,270000
4V13005305,7,1,47,15,360000
1U00026405,2,1,47,4,360000
4VBC004008,4,1,47,126,375000
4V80007908,4,1,47,500,410000
1V86007042,6,1,47,250,488000
1V40000104,5,1,48,10,8000
1V25021110,3,1,48,0,12000
2V01013101,3,1,48,22,18000
4V82038102,5,1,48,18,18000
1V72057203,4,1,48,5,30000
1V36013004,6,1,48,130,30000
2V61007708,3,1,48,25,33000
1V63010302,2,2,48,24,36000
1V35028505,4,1,48,12,42000
1V35038043,3,1,48,80,44400
2V75005517,3,1,48,0,48000
1DX0004844,5,1,48,3,53000
1P00002310,2,1,48,2,60000
1U00052403,3,1,48,37,60000
1V72027145,2,1,48,9,120000
1F00017103,4,1,48,120,120000
2G00005223,5,1,48,67,120000
3W00100602,2,1,48,1250,144000
1D29001902,6,1,48,0,180000
1D00021544,5,2,48,16,186666
4VB4096702,2,1,48,135,966000
1V89002202,5,1,49,90,17000
1D98010804,4,1,49,6,24000
2V21001005,4,1,49,0,24000
1V02005606,5,1,49,128,25000
2V57011307,4,1,49,70,27000
1V24031247,4,1,49,3,39000
2D95000706,6,1,49,4.5,48000
1VBB007504,1,1,49,19,48000
2V72088601,3,1,49,24,48000
1V32022802,4,1,49,4.5,51000
2V31080905,4,1,49,39,57000
1D94004308,5,1,49,4.5,60000
1DX0000241,4,2,49,15,68000
1V06008502,3,1,50,46,500
2V80010912,6,1,50,18,1000
2D88020311,6,1,50,25.5,3000
1VBB037341,7,1,50,0,4000
1A00006402,7,1,50,20,6600
2V31093707,9,1,50,250,10000
1DX0025104,5,1,50,4,10000
4V18049212,6,1,50,31,15000
1V57000741,8,1,50,748,15000
2V40000806,3,1,50,78,15000
1V06012002,7,1,50,510,15600
1V60007203,4,1,50,37.5,18000
1C00047303,6,1,50,0,19400
1V35020340,7,1,50,130,20000
1V68006541,5,1,50,2,24000
2A0000313,5,1,50,3,36000
1V12002040,7,1,50,8,36000
1V72069840,5,1,50,41,36000
1V15009140,7,1,50,40.5,41000
2V47015617,6,1,50,198,42000
1C00046242,5,1,50,48,51000
1D94003502,7,1,50,24,52000
1B3035409,8,1,50,126,56000
1D98035141,5,1,50,0,56000
3P00006908,2,3,50,8,60000
2VB6011210,5,1,50,8,60000
1V20007602,4,1,50,60,65000
1V24008302,3,2,50,5,72000
1U00052403,7,1,50,180,76000
1V26009441,4,1,50,3,120000
3G00032609,6,1,50,15,120000
1VB3014203,4,1,50,18,120000
1V60006741,3,1,50,7,125000
1P00009604,3,1,50,51,125000
1V27012242,4,1,50,67,165000
3D34025806,4,1,50,3,180000
1D35006603,6,1,50,125,194000
1V06008502,1,1,51,15,3000
