ID,Age,Wives,MeanLivestock,MeanLandHect,soff5
"17,501",63.6667,3,3.845,1.625,8
"17,601",67.6667,3,26.3,1.5,1
"17,701",50.7472,2,6.15,1,1
"17,901",43.6667,3,0,0,10
"18,001",56.6667,3,0,0.5,3
"18,101",36.7333,1,1.2825,2,3
"18,201",36.75,1,117.2766667,2,7
"18,301",39.4833,2,2.565,1.125,2
"18,401",55.6667,1,831.465,2.875,15
"18,501",38.6667,1,1515.38,3,4
"18,801",51.6667,1,88.71,1.666666667,4
"19,001",37.65,2,17.7425,2.375,5
"19,101",49.6667,1,4.435,1.375,2
"19,201",77.6667,2,336.1725,2.375,4
"19,301",74.7056,2,39.69333333,1.5,7
"19,501",42.6667,2,16.85,3.5,8
"19,601",39.25,2,184.9675,2.5,6
"19,701",31,1,12.82,2,0
"19,901",35.6667,1,36.40666667,1.5,3
"20,001",38.6667,1,9.15,1.5,1
"20,101",76.6667,1,81.855,1.625,3
"20,201",38.5556,1,4.6725,2.75,5
"20,401",40.6667,1,258.845,2.75,4
"20,501",27.9972,2,1.613333333,1.666666667,5
"20,601",38.1472,1,8.4675,2.625,5
"21,001",36,1,102.56,1.5,0
"21,101",30.7472,1,0,1,2
"21,201",72.6667,1,12.3125,2.125,8
"21,204",45.6667,2,0,0.3,0
"21,301",41.6667,1,39.7475,1,5
"21,401",51.6667,1,13.1225,1.25,5
"21,503",35.5833,2,0,4,1
"21,601",35.6667,1,900,0,0
"21,701",38.8583,2,0,1.5,3
"21,801",53.6667,2,169.93,4,10
"21,901",35.6306,2,0,2,1
"22,001",87.4444,4,29.9,1.5,4
"22,102",37.6639,2,30.77,2,2
"22,301",90,1,15.38,0.5,2
"22,401",63.1528,1,4.985,1.25,3
"22,501",67.6667,1,106.4675,0.5125,4
"22,601",38.1111,2,1.48,3.333333333,2
"22,801",49.6667,1,18.41333333,1.666666667,1
"23,001",36.6583,1,0,1,1
"23,101",33.6667,1,9.68,2,6
"23,201",71.0833,2,10.0925,1.333333333,8
"23,401",38.8583,1,7.526666667,2.166666667,2
"23,601",36.6667,2,9.676666667,2.333333333,2
"23,701",36.6667,1,2.956666667,2,3
"23,801",36.6667,1,8.063333333,2,3
"23,901",26.7306,1,0,0.875,0
"24,001",32.6667,1,399.94,1.666666667,2
"24,101",51.6667,3,2.956666667,1.25,6
"24,201",33.6667,3,4.783333333,2,2
"24,301",45.7472,1,2.335,1.5,6
"24,501",36.6667,1,23.36333333,2,4
"24,801",55.6667,2,3.226666667,1.5,8
"24,901",50.8778,1,153.2966667,1.833333333,1
"25,101",36.3917,3,30.69,2,3
"25,201",37.6667,1,303.9233333,2.833333333,3
"25,301",42.6667,2,0,1,1
"25,601",39.6667,2,0,1,1
"25,801",44.7056,3,21.62666667,3.5,1
"25,901",64.7306,3,170.885,1.75,0
"26,001",67.9167,4,0,3,5
"26,101",39.6667,4,354.84,1.5,6
"26,201",47.3056,1,0,2.5,0
"26,301",41.6667,1,168.22,0.25,4
"26,401",37.6667,1,22.175,2,2
"26,901",43.7306,3,50.21,3.25,5
"27,201",41.6667,2,0,0.65,8
"27,501",39.7472,2,0,0.5,3
"27,701",61.6667,2,2.335,2,0
"28,701",34.6583,2,7.01,2.75,2
"28,801",72.6667,3,84.11,3,7
"29,601",37.6667,1,0,1,1
"30,301",34.6667,1,0,1,4
"31,001",52.7056,2,0,0,2
"31,601",23.6583,3,0,0,0
"32,801",39.7306,2,0,1,4
"33,301",41.5833,3,88.71,0,4
