resId,age,noChildren,noSurvived15,totalLand,arableLand,landClass,cows,bulls,sheep,pigs,horses,otherLivestock,Nwives
525,70,3,3,2,0.1,6,1,0,2,0,0,0,1
553,70,2,2,2,1,4-5,1,0,0,0,0,0,1
981,71,5,5,2,0.5,4,2,1,0,1,0,0,1
375,72,1,1,2,2,4-5,0,0,2,1,0,0,1
664,73,5,4,2,0,4,0,0,0,0,0,0,1
1186,73,4,4,2,2,4,0,0,2,0,0,0,1
633,73,6,6,2,1,5,1,0,4,0,0,0,1
1305,73,7,7,2,2,4-5,2,1,0,0,0,0,1
386,76,1,1,2,0.5,5-6,0,0,0,0,0,0,1
456,76,1,1,2,0,4-5,0,0,0,0,0,0,1
578,77,5,5,2,0.5,4-5,0,0,0,0,0,0,1
877,82,4,4,2,1.5,5,0,0,0,0,0,0,1
801,82,5,5,2,0,4,1,0,0,0,0,0,1
57,85,10,10,2,0,0,0,0,0,0,0,0,1
558,85,3,3,2,1,4-5,1,0,0,0,0,0,1
1906,62,2,2,2.09,1,6,0,0,0,0,0,0,1
732,63,4,4,2.1,1,4-5,1,0,0,2,0,0,1
714,64,3,3,2.1,1,4-5,0,0,0,0,0,20,1
681,57,5,5,2.12,1.6,4-5,2,0,0,8,0,0,1
997,79,4,4,2.15,1.1,5,1,0,0,0,0,1,1
118,61,3,3,2.19,0,0,2,0,0,0,0,0,1
1754,59,3,3,2.2,0,5-6,0,0,0,0,0,0,1
1229,63,2,2,2.2,1,4,0,0,3,0,0,0,1
922,66,6,6,2.2,2.2,5,1,2,0,0,0,0,1
907,73,5,5,2.29,0.5,4,1,0,0,0,0,0,1
164,71,3,3,2.3,1.7,4,1,0,0,0,1,0,1
166,68,3,3,2.34,0.2,4-5,1,0,0,0,0,0,1
140,65,3,3,2.37,0.6,5-6,1,0,0,0,0,1,1
750,65,7,7,2.4,1,5-6,0,0,0,0,0,0,1
1719,71,5,5,2.4,0.8,4-5,3,0,0,0,0,0,1
584,75,3,3,2.4,2.1,4,3,0,0,0,0,0,1
264,77,2,2,2.4,1,4,0,0,17,0,0,0,1
1093,81,4,4,2.4,0,4-5,0,0,0,0,0,0,1
190,67,6,6,2.41,0.61,5,1,1,0,0,0,0,1
1639,70,5,5,2.44,1.44,6,0,0,0,0,0,0,1
668,76,4,4,2.44,2.44,5,0,0,0,0,0,0,1
1069,71,5,5,2.45,0.3,4-5,1,1,0,0,0,0,1
293,68,2,2,2.46,1.5,4,1,2,0,0,0,0,1
576,54,4,4,2.47,2.31,2,1,0,0,0,0,0,1
408,82,4,4,2.48,0,4-5,0,0,0,0,0,0,1
831,60,11,11,2.5,0.9,4-5,5,0,0,0,0,0,1
1496,64,3,3,2.5,0,6,0,0,0,0,0,0,1
333,66,4,4,2.5,1.5,4,0,0,0,0,0,0,1
1417,67,4,4,2.5,1.5,5-6,1,0,0,0,0,0,1
300,72,2,2,2.5,1.5,5-6,4,0,0,0,0,0,1
826,75,11,11,2.5,2.5,4-5,0,0,16,0,3,0,1
1434,76,8,8,2.5,2,4-5,0,0,0,0,0,0,1
252,24,1,1,2.52,2.52,6,0,0,0,0,0,0,1
577,71,4,4,2.6,0,4-5,0,0,0,0,0,0,1
442,76,6,6,2.6,0.6,5,2,0,0,0,0,0,1
864,76,4,4,2.6,0.6,5,0,0,0,0,0,0,1
835,80,2,2,2.6,1.3,4-5,0,0,0,0,0,0,1
397,60,1,1,2.61,1.82,4-5,1,0,0,0,0,0,1
859,48,1,1,2.7,0,5,0,0,0,0,0,0,1
1461,56,6,6,2.7,1,5-6,0,0,0,0,0,0,1
1446,60,2,2,2.7,2,5,0,0,0,0,0,0,1
511,68,1,1,2.7,2.7,5,1,0,0,0,0,0,1
1499,81,5,4,2.7,1.5,5-6,0,0,0,0,0,0,1
1955,68,6,6,2.75,1.2,4-5,3,1,0,2,1,0,1
1595,66,5,5,2.76,2.76,3-4,2,0,0,0,0,0,1
1516,64,2,2,2.77,0.77,4-5,1,1,0,1,0,0,1
836,71,3,3,2.8,1.8,4-5,0,0,0,0,0,0,1
