ID,Age,Wives,WealthRatio,rs
10858,36,1,34.36,4
14784,36,0,0.01,0
15734,36,1,0.01,3
16956,36,1,24.05,5
19902,36,0,5.15,0
21324,36,0,0.01,0
22217,36,0,0.01,0
24044,36,0,0.01,0
24168,36,0,0.01,0
27433,36,1,0.01,0
29957,36,0,0.01,0
100199,36,1,30.92,4
100804,36,1,68.72,1
101216,36,1,48.1,3
101520,36,1,52.32,2
102009,36,1,1718.21,2
403502,36,1,0.01,5
7782,37,1,0.01,2
8264,37,1,0.01,1
8432,37,1,13.74,2
8940,37,0,0.01,0
13803,37,0,0.01,0
13856,37,0,0.06,0
14766,37,1,0.01,1
16352,37,1,1.74,2
16924,37,0,0.01,0
17632,37,1,0.01,2
17665,37,1,41.23,2
18060,37,0,0.01,0
18658,37,1,23.25,0
19680,37,0,0.68,0
21340,37,0,1234.73,0
22175,37,0,1.54,0
22212,37,1,0.01,0
22678,37,1,0.01,1
26678,37,0,0.45,0
26741,37,1,0.01,1
102539,37,1,0.01,2
400438,37,1,0.87,0
401762,37,1,0.01,0
401942,37,1,0.87,3
10503,38,1,0.009242144,2
13162,38,1,0.01,1
13546,38,1,30.92,1
13825,38,0,0.34,0
15799,38,1,0.01,0
18302,38,1,0.01,0
19731,38,1,0.01,1
20269,38,2,1.56,1
21867,38,1,0.01,0
21900,38,1,0.01,1
22748,38,0,0.01,0
24720,38,1,8.74,3
24849,38,1,87.2,3
26761,38,1,0.12,0
27159,38,1,0.01,2
28385,38,1,14.53,1
29491,38,1,0.01,3
101552,38,0,0.06,0
101622,38,1,25.77,2
106840,38,1,0.01,0
400479,38,1,34.88,0
400574,38,1,30.92,0
401109,38,1,58.13,0
401926,38,1,85.91,0
7553,39,0,1.39,0
12155,39,1,34.88,7
12857,39,0,27.49,0
13266,39,0,0.01,0
14691,39,2,0.01,2
16419,39,1,8.72,2
20616,39,1,0.01,0
21759,39,1,0.01,4
22309,39,1,0.01,2
22792,39,1,0.54,0
22961,39,1,0.68,2
24009,39,1,6.15,2
24354,39,1,0.01,4
24492,39,1,0.01,0
24729,39,1,0.01,0
25676,39,0,2.9,0
25980,39,1,72.67,1
26340,39,1,0.01,2
26670,39,0,14.53,0
29763,39,1,2.06,1
39170,39,0,0.46,0
101740,39,0,0.01,0
104084,39,0,0.01,0
401044,39,1,6.87,0
403142,39,1,11.62,0
403380,39,1,5.96,0
403504,39,1,0.01,0
2947,40,1,54.98,7
7733,40,1,0.01,0
9211,40,1,6.87,3
12609,40,0,5.15,0
14731,40,1,0.01,2
15318,40,1,3.91,2
16421,40,1,27.49,3
16946,40,0,4.14,0
17401,40,0,23.25,0
18527,40,0,0.01,0
19436,40,2,0.01,5
19463,40,1,0.01,3
20108,40,1,0.01,0
20792,40,0,6.87,0
21256,40,1,6.87,1
21522,40,0,0.01,0
23315,40,1,0.01,7
26312,40,0,27.49,0
26893,40,1,0.01,2
27083,40,2,4.19,0
27506,40,0,30.92,0
28023,40,1,0.01,2
28444,40,0,0.01,0
100725,40,0,24.05,0
101660,40,1,41.23,5
400154,40,1,2.74,0
400452,40,1,0.32,0
400794,40,1,0.14,0
4885,41,1,17.18,4
8332,41,0,0.01,0
9003,41,1,0.01,5
9756,41,0,5.15,0
11461,41,0,0.01,0
13761,41,1,0.01,1
13806,41,0,0.01,0
16412,41,1,3.12,0
18652,41,1,1.07,4
18693,41,1,0.009242144,0
18752,41,1,0.01,0
18843,41,1,0.01,0
19737,41,1,0.01,6
20739,41,1,61.85,0
20844,41,0,9.8,0
21837,41,2,0.01,6
22153,41,0,0.01,0
22439,41,1,0.009242144,0
24242,41,2,1030.92,0
25107,41,1,0.01,8
26675,41,1,0.01,0
27081,41,0,0.01,0
28318,41,0,0.01,0
100745,41,1,240.54,2
102940,41,1,0.01,0
103181,41,0,0.01,0
103422,41,1,4.36,1
104662,41,1,20.61,3
401900,41,1,2.09,2
402020,41,1,13.74,0
7811,42,1,52.32,0
8295,42,1,0.13,4
8501,42,1,0.01,0
9143,42,0,11.62,0
10684,42,0,0.04,0
10840,42,1,4.36,1
10941,42,0,0.01,0
13285,42,1,4.36,2
14121,42,1,1.25,7
15315,42,0,0.009242144,0
16053,42,0,0.01,2
16175,42,1,0.19,7
18509,42,1,3.43,4
21179,42,1,0.009242144,8
21882,42,1,0.29,1
22136,42,0,0.01,0
23250,42,0,0.01,0
24149,42,1,0.01,8
24394,42,0,3.25,0
26640,42,1,0.01,6
28235,42,0,5.22,0
28927,42,0,20.61,0
73996,42,1,0.01,1
100520,42,1,41.23,4
102174,42,1,0.01,0
400303,42,1,3.99,0
400727,42,1,54.98,0
400782,42,1,13.74,0
7332,43,0,0.01,0
7990,43,0,30.75,0
8101,43,1,4.83,7
8836,43,0,0.01,0
10441,43,0,0.009242144,0
11052,43,0,0.01,0
11369,43,1,0.01,0
13134,43,1,17.18,4
13930,43,1,0.01,1
14724,43,1,0.01,3
14758,43,2,0.34,0
14886,43,1,0.01,4
16922,43,1,0.01,0
16994,43,1,0.01,0
17054,43,1,11.62,1
19387,43,0,0.01,0
20187,43,1,24.05,2
20448,43,0,16.59,0
20457,43,0,0.01,0
25106,43,2,0.01,0
25114,43,1,0.01,2
26316,43,1,0.01,5
26651,43,1,0.01,0
28274,43,0,0.01,0
28529,43,1,0.01,6
29507,43,0,2.74,2
100560,43,1,48.1,6
100952,43,0,0.01,0
400275,43,1,1.31,0
400915,43,1,1.03,0
401526,43,1,8.72,0
401846,43,1,40.69,0
8497,44,1,0.29,2
8898,44,1,0.01,0
9928,44,1,0.01,6
10337,44,1,0.01,2
10678,44,2,0.58,1
11730,44,1,10.3,0
12367,44,0,54.98,0
12385,44,1,2.74,0
13126,44,1,0.01,1
13286,44,1,1125.72,0
14668,44,1,20.61,3
14708,44,0,0.07,0
15353,44,1,15.06,5
15354,44,0,0.01,0
16623,44,0,0.009242144,0
16873,44,1,8.72,4
17445,44,1,5.81,4
19448,44,2,0.01,0
19589,44,1,0.01,2
20775,44,1,0.009242144,8
22862,44,0,0.01,0
24664,44,1,0.01,0
24885,44,0,0.01,0
25608,44,1,0.65,6
26657,44,2,0.01,0
28897,44,0,1.05,0
29630,44,1,17.18,2
29704,44,1,206.18,13
101057,44,1,27.22,0
101720,44,1,10.3,9
400193,44,1,24.05,0
400895,44,1,30.05,0
401043,44,1,41.23,0
403510,44,1,0.01,0
7238,45,0,0.01,0
8221,45,1,4.36,0
8240,45,1,0.34,4
13545,45,0,22.87,2
13710,45,0,41.23,1
14263,45,1,48.1,5
17050,45,1,0.01,1
17087,45,1,0.01,0
19164,45,0,0.01,0
19479,45,2,0.01,4
24146,45,1,0.01,0
24358,45,1,0.01,2
24988,45,1,0.01,4
25650,45,1,0.01,2
26314,45,1,137.45,2
29111,45,2,5.15,3
102008,45,1,34.36,6
104412,45,1,54.98,3
400463,45,1,41.23,0
401173,45,1,15.23,0
401190,45,1,0.29,0
401540,45,1,0.33,0
403324,45,1,0.009242144,0
6586,46,1,1.03,1
7471,46,1,0.01,2
9944,46,1,0.07,0
10070,46,1,26.16,0
11095,46,1,0.01,3
12671,46,1,0.01,0
13132,46,1,6.87,4
14479,46,1,0.01,1
17607,46,1,0.009242144,5
19716,46,1,0.01,6
19794,46,1,0.01,7
20889,46,1,0.01,0
24494,46,1,0.01,5
27915,46,1,0.35,3
27968,46,0,0.009242144,0
28169,46,2,30.92,6
28520,46,1,0.01,4
29628,46,1,154.63,7
104072,46,1,2.32,2
106766,46,2,0.01,3
107294,46,1,343.64,6
400931,46,1,10.3,0
402258,46,1,0.01,4
698,47,1,48.1,8
1495,47,1,41.23,2
3169,47,1,61.85,6
4040,47,1,41.23,0
8177,47,1,2.9,3
10543,47,1,0.01,4
11045,47,2,0.29,4
11742,47,1,0.01,0
11927,47,0,805.61,1
13041,47,0,6.87,0
14118,47,1,0.01,0
14707,47,1,3.43,9
15769,47,1,0.01,2
16912,47,2,26.88,1
17005,47,1,116.27,0
17336,47,1,46.51,3
17970,47,1,0.01,8
19352,47,1,45.29,5
19949,47,1,0.01,0
22992,47,2,13.74,1
22994,47,1,0.01,0
24464,47,0,481.09,0
25088,47,2,0.01,3
26600,47,0,0.01,0
28908,47,1,85.91,8
29465,47,1,0.01,5
29914,47,1,139.04,4
74115,47,0,7.64,0
101019,47,1,85.91,4
102155,47,1,1.54,7
106624,47,1,0.01,2
400196,47,1,4.11,0
