Country,District,sumTested,sumPositive,ratioPositive,,Nation,,,p94st,State -1,2,3,4,5,6,7,8,9,Market -10,DK,,p13st,Democracy,DoesntMatter,Authoritarian,NA,DK,,p89n.a,DK,Less,Same,More,,p67st,1-Unable,2,3,4,5,6,7,8,9,10-Able,DK,NA,None,,p72st.a,Yes,No,NA,DK,,p64wvsst,1-Never,2,3,4,5,6,7,8,9,10-Always,DK,NA,,s19j,No,Yes,NA,,s19l,No,Yes,NA,,s19n,No,Yes,NA,,,,s11,Asian,Black,DK,Indigenous,Mestizo,Mulato,NA,Other,White,,s26,Very Good,Good,OK,Bad,Very Bad,,s6,DK,NA,No Religion/NA,NotDevoteAtAll,NotVeryDevote,Devote,VeryDevote,,rel,pw,dem,,s15Ed,0y,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,11y,12y,TechInc,TechCompOrUniIncomp,UniComp,,26stf,Completely guaranteed,Fairly guaranteed,A Little guaranteed,Not guaranteed at all,Dontknow/No answer
Colombia,ColombiaSantander,250,20,0.08,,4,,,ColombiaSantander,13,3,12,10,11,4,3,3,1,1,3,,ColombiaSantander,31,21,4,1,7,,ColombiaSantander,1,9,30,24,,ColombiaSantander,5,10,10,13,12,5,2,2,0,3,2,0,0,,ColombiaSantander,16,48,0,0,,ColombiaSantander,16,10,5,4,14,5,5,2,0,1,2,0,,ColombiaSantander,10,54,0,,ColombiaSantander,11,53,0,,ColombiaSantander,0,64,0,,,,ColombiaSantander,1,2,15,1,22,4,0,0,19,,ColombiaSantander,15,20,20,6,3,,ColombiaSantander,0,0,2,2,14,36,10,,0.71875,0.296875,0.885714286,,ColombiaSantander,3,1,2,2,0,13,2,2,1,1,2,15,0,2,12,6,,,8,28,17,10,1
Colombia,ColombiaSucre,100,4,0.04,,4,,,ColombiaSucre,3,2,3,5,8,3,3,2,2,1,0,,ColombiaSucre,18,10,3,0,1,,ColombiaSucre,0,3,21,8,,ColombiaSucre,1,0,3,4,6,5,4,2,3,4,0,0,0,,ColombiaSucre,5,27,0,0,,ColombiaSucre,12,3,1,3,6,3,2,0,2,0,0,0,,ColombiaSucre,2,30,0,,ColombiaSucre,4,28,0,,ColombiaSucre,0,32,0,,,,ColombiaSucre,0,4,2,3,16,0,0,2,5,,ColombiaSucre,3,11,7,5,6,,ColombiaSucre,0,0,1,2,8,15,6,,0.65625,0.15625,0.857142857,,ColombiaSucre,2,1,5,0,1,3,2,2,2,0,0,4,0,2,4,4,,,10,6,10,6,0
Colombia,ColombiaValledelCauca,1016,165,0.162401575,,4,,,ColombiaValledelCauca,25,10,17,19,24,9,9,11,4,4,4,,ColombiaValledelCauca,81,34,9,1,11,,ColombiaValledelCauca,1,49,59,27,,ColombiaValledelCauca,5,7,12,17,40,21,11,16,3,4,0,0,0,,ColombiaValledelCauca,49,86,0,1,,ColombiaValledelCauca,24,5,7,5,24,18,11,13,2,17,7,3,,ColombiaValledelCauca,4,132,0,,ColombiaValledelCauca,2,134,0,,ColombiaValledelCauca,2,134,0,,,,ColombiaValledelCauca,0,32,11,6,42,10,0,0,35,,ColombiaValledelCauca,13,60,43,16,4,,ColombiaValledelCauca,0,1,6,6,57,49,17,,0.488888889,0.257352941,0.9,,ColombiaValledelCauca,8,5,5,5,5,14,7,7,5,5,5,41,0,4,14,6,,,23,39,43,30,1
Ecuador,EcuadorChimborazo,201,70,0.348258706,,5,,,EcuadorChimborazo,22,9,9,2,3,11,3,2,0,2,12,,EcuadorChimborazo,46,12,5,2,10,,EcuadorChimborazo,7,39,29,0,,EcuadorChimborazo,4,5,5,4,9,7,15,7,0,2,16,0,1,,EcuadorChimborazo,15,60,0,0,,EcuadorChimborazo,30,7,4,2,7,6,2,1,4,4,6,2,,EcuadorChimborazo,15,60,0,,EcuadorChimborazo,21,54,0,,EcuadorChimborazo,7,68,0,,,,EcuadorChimborazo,0,0,0,25,48,1,0,0,1,,EcuadorChimborazo,1,12,31,26,5,,EcuadorChimborazo,2,1,2,7,25,36,2,,0.527777778,0.013333333,0.901960784,,EcuadorChimborazo,22,0,2,0,0,0,30,0,0,0,1,1,11,0,4,4,,,11,30,13,11,10
Ecuador,EcuadorEsmeraldas,2585,1487,0.575241779,,5,,,EcuadorEsmeraldas,2,4,0,6,2,6,0,1,1,0,8,,EcuadorEsmeraldas,11,13,4,0,2,,EcuadorEsmeraldas,0,16,14,0,,EcuadorEsmeraldas,1,0,1,1,3,5,11,2,0,0,4,0,2,,EcuadorEsmeraldas,18,12,0,0,,EcuadorEsmeraldas,7,2,3,1,4,4,6,2,0,0,1,0,,EcuadorEsmeraldas,5,25,0,,EcuadorEsmeraldas,28,2,0,,EcuadorEsmeraldas,1,29,0,,,,EcuadorEsmeraldas,0,20,0,0,10,0,0,0,0,,EcuadorEsmeraldas,0,2,9,14,5,,EcuadorEsmeraldas,0,1,2,6,15,6,0,,0.206896552,0,0.733333333,,EcuadorEsmeraldas,5,0,0,3,1,1,11,0,1,1,1,0,4,0,1,1,,,6,17,4,2,1
Ecuador,EcuadorImbabura,190,66,0.347368421,,5,,,EcuadorImbabura,23,5,2,3,5,6,0,0,0,0,1,,EcuadorImbabura,23,10,9,0,3,,EcuadorImbabura,1,20,18,6,,EcuadorImbabura,2,1,1,2,11,5,9,4,1,1,7,0,1,,EcuadorImbabura,12,33,0,0,,EcuadorImbabura,23,3,2,2,3,3,1,5,0,0,2,1,,EcuadorImbabura,2,43,0,,EcuadorImbabura,6,39,0,,EcuadorImbabura,0,45,0,,,,EcuadorImbabura,0,0,0,10,33,1,0,0,1,,EcuadorImbabura,0,8,20,13,4,,EcuadorImbabura,0,0,1,6,17,17,4,,0.466666667,0.022222222,0.71875,,EcuadorImbabura,7,0,0,1,1,1,19,0,0,2,1,0,7,0,4,2,,,12,13,12,8,0
Ecuador,EcuadorManabi,141,89,0.631205674,,5,,,EcuadorManabi,44,4,19,22,29,1,0,1,3,1,6,,EcuadorManabi,80,28,5,0,17,,EcuadorManabi,1,6,60,63,,EcuadorManabi,0,2,5,4,24,14,39,29,8,0,2,0,3,,EcuadorManabi,52,75,0,3,,EcuadorManabi,31,24,22,8,9,3,10,12,4,1,5,1,,EcuadorManabi,45,85,0,,EcuadorManabi,54,76,0,,EcuadorManabi,1,129,0,,,,EcuadorManabi,0,5,4,2,91,3,0,2,23,,EcuadorManabi,0,4,80,38,8,,EcuadorManabi,0,0,4,6,75,40,5,,0.346153846,0.176923077,0.941176471,,EcuadorManabi,19,2,5,4,5,5,43,1,1,5,2,4,18,0,12,4,,,5,21,66,34,4
Ecuador,EcuadorOrellana,1052,354,0.336501901,,5,,,EcuadorOrellana,0,0,0,2,3,4,1,0,0,0,0,,EcuadorOrellana,4,0,6,0,0,,EcuadorOrellana,0,4,6,0,,EcuadorOrellana,0,0,0,4,1,3,2,0,0,0,0,0,0,,EcuadorOrellana,0,10,0,0,,EcuadorOrellana,0,0,0,3,4,0,1,0,0,1,0,1,,EcuadorOrellana,10,0,0,,EcuadorOrellana,10,0,0,,EcuadorOrellana,0,10,0,,,,EcuadorOrellana,0,0,0,5,5,0,0,0,0,,EcuadorOrellana,0,0,1,6,3,,EcuadorOrellana,0,0,0,0,0,10,0,,1,0,0.4,,EcuadorOrellana,1,0,0,1,0,1,4,1,0,0,0,1,0,0,1,0,,,0,4,6,0,0
Ecuador,EcuadorPichincha,4049,2160,0.533465053,,5,,,EcuadorPichincha,53,9,19,17,30,16,10,6,1,0,4,,EcuadorPichincha,97,30,33,0,5,,EcuadorPichincha,1,46,81,37,,EcuadorPichincha,2,4,8,20,32,29,40,15,3,0,10,0,2,,EcuadorPichincha,77,88,0,0,,EcuadorPichincha,66,12,10,9,28,13,5,8,3,4,4,3,,EcuadorPichincha,16,146,3,,EcuadorPichincha,16,146,3,,EcuadorPichincha,8,154,3,,,,EcuadorPichincha,0,4,2,13,129,7,1,0,9,,EcuadorPichincha,5,59,79,15,7,,EcuadorPichincha,1,0,11,20,68,45,20,,0.396341463,0.054545455,0.746153846,,EcuadorPichincha,6,0,1,4,4,2,40,2,2,7,6,4,35,0,43,9,,,23,65,46,31,0
Ecuador,EcuadorSucumbios,74,11,0.148648649,,5,,,EcuadorSucumbios,0,1,0,0,0,4,0,0,0,0,0,,EcuadorSucumbios,1,0,4,0,0,,EcuadorSucumbios,0,2,3,0,,EcuadorSucumbios,0,0,0,1,3,1,0,0,0,0,0,0,0,,EcuadorSucumbios,0,5,0,0,,EcuadorSucumbios,0,0,0,0,2,3,0,0,0,0,0,0,,EcuadorSucumbios,5,0,0,,EcuadorSucumbios,5,0,0,,EcuadorSucumbios,0,5,0,,,,EcuadorSucumbios,0,1,0,1,3,0,0,0,0,,EcuadorSucumbios,0,0,0,5,0,,EcuadorSucumbios,0,0,0,0,0,4,1,,1,0,0.2,,EcuadorSucumbios,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,,,0,5,0,0,0
