"","Irs","IrsL","IrsH","Mrs","MrsL","MrsH","Ims","ImsL","ImsH","Mms","MmsL","MmsH","Incpt","IncptL","IncptH","Age","AgeL","AgeH","Spouses","SpousesL","SpousesH","SpouseYears","SpouseYearsL","SpouseYearsH","pD","lppd","WAIC"
"Males",0.19,0.13,0.26,0.87,0.72,1.02,0.27,0.2,0.35,0.66,0.58,0.75,-2.49,-2.99,-2.01,1.1,0.96,1.23,0.05,-0.08,0.19,1.15,0,4312.48,3.94,-966.77,1941.41
"Females",0.2,0.14,0.26,0.55,0.47,0.63,0.26,0.18,0.36,0.7,0.63,0.78,-2.2,-2.51,-1.92,1.03,0.95,1.12,0.04,-0.07,0.15,1.1,0,2896.75,4.34,-1231.08,2470.84
"Delta",-0.03,-0.51,0.44,0.46,0.23,0.69,0.03,-0.4,0.48,-0.06,-0.22,0.12,-0.28,-0.83,0.28,0.07,-0.08,0.23,0.01,-0.17,0.18,0,-16400.15,16310.9,NA,NA,NA
