"","Irs","IrsL","IrsH","Mrs","MrsL","MrsH","Ims","ImsL","ImsH","Mms","MmsL","MmsH","Incpt","IncptL","IncptH","Age","AgeL","AgeH","Spouses","SpousesL","SpousesH","SpouseYears","SpouseYearsL","SpouseYearsH","pD","lppd","WAIC"
"Males",0.19,0.13,0.26,0.87,0.73,1.02,0.12,0.07,0.17,0.5,0.4,0.62,-0.54,-1.94,2.44,-0.05,-0.33,0.23,-0.03,-10.14,10.27,0.92,0.8,1.05,9.96,-854.39,1728.69
"Females",0.2,0.14,0.26,0.55,0.47,0.64,0.07,0.03,0.11,0.33,0.26,0.41,-0.79,-1.82,2.32,0.4,0.24,0.58,-0.09,-9.49,9.93,0.57,0.43,0.69,13.27,-1143.19,2312.92
"Delta",-0.03,-0.51,0.45,0.46,0.2,0.67,0.57,-0.13,1.26,0.43,0.11,0.77,0.22,-3.98,3.7,-0.46,-0.79,-0.12,-0.06,-13.89,14.23,0.35,0.18,0.55,NA,NA,NA
