"","Irs","IrsL","IrsH","Mrs","MrsL","MrsH","Ims","ImsL","ImsH","Mms","MmsL","MmsH","Incpt","IncptL","IncptH","Age","AgeL","AgeH","Spouses","SpousesL","SpousesH","SpouseYears","SpouseYearsL","SpouseYearsH","pD","lppd","WAIC"
"Males",0.19,0.13,0.26,0.87,0.73,1.03,0.12,0.07,0.17,0.48,0.39,0.59,-0.89,-2.07,2.93,0.07,-0.17,0.31,-0.12,-0.23,-0.01,0.98,0.85,1.11,12.5,-839.25,1703.52
"Females",0.19,0.14,0.26,0.55,0.47,0.64,0.07,0.04,0.11,0.33,0.26,0.41,-0.65,-1.92,3.17,0.4,0.24,0.56,0.09,-0.01,0.2,0.57,0.44,0.7,15.63,-1141.08,2313.41
"Delta",-0.02,-0.48,0.43,0.46,0.23,0.69,0.56,-0.17,1.19,0.39,0.06,0.69,-0.22,-5.33,3.83,-0.32,-0.63,-0.05,-0.21,-0.36,-0.06,0.4,0.22,0.59,NA,NA,NA
