"","Irs","IrsL","IrsH","Mrs","MrsL","MrsH","Ims","ImsL","ImsH","Mms","MmsL","MmsH","Incpt","IncptL","IncptH","Age","AgeL","AgeH","Spouses","SpousesL","SpousesH","SpouseYears","SpouseYearsL","SpouseYearsH","pD","lppd","WAIC"
"Males",0.19,0.13,0.26,0.87,0.72,1.02,0.13,0.09,0.18,0.6,0.5,0.72,-0.01,-0.53,0.52,-0.33,-0.56,-0.1,0.19,-9.44,9.38,0.88,0.76,1.01,3.97,-884.37,1776.67
"Females",0.2,0.13,0.26,0.55,0.48,0.64,0.14,0.09,0.18,0.39,0.33,0.46,-1.32,-1.72,-0.99,0.4,0.24,0.58,0.1,-9.58,9.74,0.46,0.35,0.57,4.15,-1191.47,2391.24
"Delta",-0.02,-0.46,0.48,0.46,0.23,0.69,-0.06,-0.53,0.43,0.42,0.17,0.67,1.31,0.64,1.91,-0.73,-1.05,-0.46,0.08,-14.08,13.43,0.43,0.27,0.62,NA,NA,NA
