"","Irs","IrsL","IrsH","Mrs","MrsL","MrsH","Ims","ImsL","ImsH","Mms","MmsL","MmsH","Incpt","IncptL","IncptH","Age","AgeL","AgeH","Spouses","SpousesL","SpousesH","SpouseYears","SpouseYearsL","SpouseYearsH","pD","lppd","WAIC"
"Males",0.19,0.13,0.26,0.87,0.73,1.02,0.12,0.07,0.17,0.48,0.39,0.58,-1.1,-2.27,2.85,0.13,-0.13,0.34,0.06,-9.46,9.69,0.94,0.82,1.07,11.48,-840.92,1704.8
"Females",0.2,0.14,0.26,0.55,0.47,0.63,0.07,0.04,0.11,0.33,0.26,0.41,-0.76,-1.86,2.22,0.41,0.24,0.57,0.05,-10.28,9.35,0.56,0.43,0.69,14.18,-1142.83,2314.01
"Delta",-0.03,-0.48,0.46,0.46,0.24,0.7,0.58,-0.11,1.27,0.39,0.07,0.7,-0.3,-4.62,4.01,-0.28,-0.57,0.01,0.05,-13.84,14.1,0.38,0.21,0.56,NA,NA,NA
